Номер дела,Дата,Оспариваемое рекламное объявление,Тег,Регион,Нарушение,Ссылка на закон,Решение по делу,Варианты ответа верное,Варианты ответа неверное,Итоговый ответ
100-08/2018,24 января 2019,,неэтичная реклама,Челябинск,"В заголовке рекламы, поступившей заявителю на его электронный адрес содержатся сведения: «Коля из Бургер Кинга раздаст по Е-баллам за кофе». Словосочетание «раздаст по Е-баллам» имеет явное сходство с нецензурным ругательством.
Употребление в рекламе буквы «Е» в совокупности со словом «баллы» в дательном падеже может создавать у потребителей ассоциации со словосочетанием, относящимся к обсценной лексике. Эффект присутствия в рекламе ненормативной лексики усиливается отсутствием информации о порядке проведения акции на определенный напиток путем начисления баллов, озаглавленных с использованием буквы «Е».","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Выдано предписание о прекращении нарушения законодательства Российской Федерации о рекламе и наложен штраф в размере 105 000,"Верное:  Фраза ""Е-Баллы"" созвучна с нецензурной лексикой и нарушает ч. 6 ст. 5 ФЗ ""О рекламе"", согласно которой запрещено использование бранных слов и непристойных выражений.","Неверное: Условия участия в акции не прописаны, а если информации недостаточно, то это приводит к искажению ее смысла, чем вводит в заблуждение потребителей рекламы. Такая информация считается отсутствующей, а соответствующая реклама ненадлежащей, потому что не содержит часть существенной информации о рекламируемом товаре и нарушает положения ч. 7 ст. 5 ФЗ ""О рекламе"".","Используемое в рекламе словосочетание «раздаст по Е-баллам» имеет явное сходство с нецензурным выражением. Использование непристойных слов запрещается ч. 6 ст. 5 ФЗ ""О рекламе"". За нарушение законодательства последовал штраф в размере 105 000 рублей.
Подробнее о деле: https://goo.su/8NOgUz3"
"02-06-12-2016
",25 августа 2016,,неэтичная реклама,Забайкальский край,"В данной рекламе присутствует оскорбительный образ - повешенный человек, что было воспринято негативно жителями города как пропаганда и намек на суицид","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",,"Верное: На рекламном билборде изображен оскорбительный образ, который воспринимается как призыв к суициду, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе используется образ повешенного человека, что воспринимается как призыв к насилию и жестокости, нарушая п. 2 ч. 4 ст. 5 ФЗ ""О рекламе"".","В данной рекламе присутствует оскорбительный образ - повешенный человек, что ассоциируется с призывом к суициду. Реклама, которая носит оскорбительный и непристойный характер, нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/AaVEh"
31,10 феврался 2012,,неэтичная реклама,Иркутская область,"В основе выражения ""Я ХУдЕЮ ОТ Sushi Tokyo.ru"" - лежит матерная фраза, при этом ее содержание основывается на фоновых знаниях потребителей рекламы, поскольку буква д значительно меньше, чем другие буквы во фразе.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Наложен административный штраф в размере 100 000 рублей,"Верное: В рекламе присутствует фраза, в основе которой лежит матерное выражение, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: На рекламном билборде не указаны результаты исследований и иных подтверждений фразы о похудении (""Я худею от суши..."") после потребления рекламируемой продукции, что нарушает п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"". ","В рекламе используется слоган ""Я ХУдЕЮ ОТ..."", который имеет сходство с ругательством из-за стиля написания: все буквы прописные за исключением ""д"". Использование бранных слов, непристойных и оскорбительных выражений в рекламе запрещается ч. 6 ст. 5 ФЗ ""О рекламе"". За нарушение закона был назначен административный штраф в размере 100 000 рублей.
Подробнее о деле: https://goo.su/H8eI"
04-5/47,25 апреля 2017,,неэтичная реклама,Хабаровский край,"В рекламе представлен непристойный образ (врача и пациентки), а также присутвует фраза ""вставляем с гарантией"", которая может восприниматься двусмысленно жителями города","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Признана ненадлежайщей, выдано предписание о прекращении нарушения законодательства РФ о рекламе","Верное: В рекламе присутствует изображение, демонстрирующее непристойный образ врача и пациента, а также двусмысленная оскорбительная фраза. Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама содержит информацию порнографического характера, нарушает п. 5 ч. 4 ст. 5 ФЗ ""О рекламе"".","Реклама, содержащая непристойный образ врача и пациента в сочетании с двусмысленной фразой ""Вставляем с гарантией"", имеет оскорбительный характер. Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/u4fw "
283/04 ,25 февраля 2015,,неэтичная реклама,Таганрог,"Используемые в рекламе выражения: «День Победы … Водружение бюстгалтера победы … Оккупация столов», а также использование в рекламе изображений «коктейлей Молотова» недвусмысленно свидетельствуют о якобы имеющейся связи между Победой в Великой Отечественной Войне и рекламируемым товаром. На основании изложенного, с учетом положений Федерального закона от 19.05.1995 N 80-ФЗ «Об увековечении победы советского народа в Великой Отечественной войне 1941 - 1945 годов» Ростовское УФАС России полагает, что указанная реклама содержит оскорбительные образы, принижает значимость исторического события.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия. В соответствии с ч. 10.1 ст. 5 ФЗ ""О рекламе"" не допускается размещение рекламы информационной продукции, подлежащей классификации в соответствии с требованиями ФЗ ""О защите детей"", без указания категории данной информационной продукции.",Признана ненадлежащей и наложен административный штраф в размере 100 000 рублей,"Верное: Реклама содержит оскорбительные образы и фразы, в которых прослеживается сравнение рекламируемого товара с победой в Великой Отечественной войне, что нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама содержит изображения алкогольной продукции, что запрещено п. 3 ч. 5 ст. 5 ФЗ ""О рекламе"".","Используемые в рекламе выражения: ""День Победы"", ""Водружение бюстгалтера победы"", ""Оккупация столов"", а также использование в рекламе изображений ""коктейлей Молотова"" свидетельствуют о якобы имеющейся связи между победой в Великой Отечественной войне и рекламируемым событием. Данная реклама содержит оскорбительные образы, принижающие значимость исторического события, что запрещено ч. 6 ст. 5 ФЗ ""О рекламе"". За нарушение законодательства был назначен административный штраф в размере 100 000 рублей.
Подробнее о деле:  https://goo.su/ZYWW"
08-830/2014,23 марта 2015,,неэтичная реклама,Республика Татарстан,"Использование бородатым мужчиной женской одежды; наличие крыльев и нимба (нимб - условное обозначение сияния вокруг головы изображений Христа, Богоматери, святых и т. д., символизирующие их святость. Согласно толковому словарю Ожегова «нимб» - в изображениях святых, у церковных скульптур: символ святости - сияние в виде светлого кружка вокруг головы), которые являются также характерным атрибутом при изображении ангелов в христианстве, представляемых в виде безбородых юношей, в светлых диаконских облачениях, с крыльями за спиной и с нимбом над головой (согласно толковому словарю Ожегова «ангел» - в религии: служитель Бога, исполнитель его воли и его посланец к людям (изображаемый обычно крылатым отроком, юношей)). В рассматриваемом случае ответчиком при создании данной рекламы допущено неоправданное сравнение в использовании зрительных образов, которое входит в резкий диссонанс с привычной для религиозного сознания практикой использования атрибутов (крылья и нимб) религиозного культурного пласта, в связи с чем могут быть оскорбительными по отношению к религиозным чувствам верующих христиан","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства РФ о рекламе","Верное: Неоправданное использование бородатым мужчиной религиозных атрибутов (нимб и крылья) создает образ, оскорбляющий чувства верующих, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Используемый в рекламе образ мужчины в женской одежде пропагандирует смену пола, что нарушает п. 6 ч. 4 ст. 5 ФЗ ""О рекламе"".","В рекламе используется образ, оскорбляющий чувства верующих: бородатый мужчина в женской одежде с крыльями и нимбом - символом святости, который сравнивается с ангелом в искаженном его понимании. Использование непристойных и оскорбительных образов в отношении религии нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/GDeCXUo"
500-11248-15/8,25 сентября 2015,,неэтичная реклама,Самарская область,"Использование изображения мужчины, который в силу характерных признаков своей расы, имеет темный цвет кожи, в сочетании с образом «Мойдодыра» и лозунгом «А немытым трубочистам стыд и срам», является оскорбительным образом по отношению к людям негроидной расы. Данный образ вызывает ассоциации с тем, что люди с темной кожей являются таковыми не в силу генетических особенностей, а по причине неряшливости и несоблюдения общепринятых правил гигиены","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Признана ненадлежащей, выдано предписание о прекращении нарушения законодательства РФ о рекламе и назнчаен административный штраф в размере 10 000 рублей","Верное: В рекламе используется изображение мужчины негроидной расы в сочетании с фразой ""А немытым трубочистам стыд и срам"". Это создает оскорбительный образ. Реклама вызывает ассоциацию с тем, что темнокожие люди являются такими по причине несоблюдения правил гигиены. Это нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе используется изображение темнокожего мужчины и фраза ""А немытым трубочистам стыд и срам"".  В сочетании это указывает на то, что мужчина не пользовался рекламируемым товаром. Реклама формирует негативное отношение к лицам, не использующим рекламируемый товар. Нарушает п. 4 ч. 4 ст. 5 ФЗ ""О рекламе"". ","Реклама использует оскорбительный образ по отношению к расе: мужчина негроидной расы в сочетании с образом «Мойдодыра» и лозунгом «А немытым трубочистам стыд и срам». Этот образ вызывает ассоциации с тем, что люди с темной кожей являются таковыми не в силу генетических особенностей, а по причине неряшливости и несоблюдения правил гигиены. Реклама, имеющая оскорбительный характер, нарушает ч. 6 ст. 5 ФЗ ""О рекламе"". Рекламодателю был назначен административный штраф в размере 10 000 рублей.
Подробнее о деле: https://goo.su/ne0Ija "
"№ 027/04/14.3-154/2021
",12.03.2021,,фармацевтика неэтичная заблуждение,Хабаровск,"В соответствии с частью 6 ст. 5 Федерального закона от 13 марта 2006 года N 38-ФЗ ""О рекламе"" (далее - ФЗ ""О рекламе"") в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.

","В соответствии с частью 6 ст. 5 Федерального закона от 13 марта 2006 года N 38-ФЗ ""О рекламе"" (далее - ФЗ ""О рекламе"") в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.
",Предписание на устранение рекламы и предупреждение,"Верное: На рекламном баннере представлен непристойный женский образ, показывающий девушку легкого поведения, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"". ","Неверное: В рекламе используется образ медицинского работника, что является нарушением п. 5 ч. 6 ст. 5 ФЗ ""О рекламе"".","Реклама носит оскорбительный характер в отношении женщин и медицинских работников, поскольку используется изображение девушки легкого поведения. Наличие непристойных образов и сравнений нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/7U3oQcL "
№ 02-ФАС22-Р/01-19,26.11.2018,,"алкоголь
неэтичная",Барнаул,"""Использование непристойных и оскорбительных образов (в отношения женского пола) на бутылке алкогольного напитка ""Пряничное"""""".","""Ч.6 ст. 5 ФЗ «О рекламе»: В рекламе не допускается использование бранных слов, непристойных и оскорбительных образов"".",Предписание на устранение рекламы,"Верное: В рекламе используется непристойный образ в отношении женского пола, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Реклама содержит информацию порнографического характера, нарушая п. 5 ч. 4 ст. 5 ФЗ ""О рекламе"".","Данная реклама имеет непристойный и оскорбительный характер в отношении пола, так как содержит сцену сексуального характера и демонстрирует насилие над женщинами. Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/LEQl6eU "
,2016 г,,этичная реклама,Москва,"Игра слов в слогане сопровождается изображением предлагаемых сетью блюд, соотвественно, рекламодатель может сказать, что глаголы используются в прямом значении, и поэтому подобная реклама не нарушает закон","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Не усмотрены признаки нарушения ч.  6 ст. 6 ФЗ о рекламе,"Верное: Рекламные слоганы содержат непристойные выражения, что нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".  ","Неверное: Указанная на билбордах информация о рекламируемых товарах и условиях их приобретения не воспринимается потребителями, поскольку написана мелким шрифтом. Реклама нарушает ч. 7 ст. 5 ФЗ ""О рекламе"".","Изначально реклама вызвала вопросы из-за сходства рекламных слоганов с ненормативной лексикой, поскольку закон запрещает употребление оскорбительных и бранных выражений. Однако было решено, что игра слов сопровождается изображением предлагаемых сетью блюд, соответственно, глаголы используются в прямом значении. По результатам судебного разбирательства не были усмотрены признаки нарушения ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/cOl6Zf"
,2019 г,,этичная реклама,Челябинск,"Жалоба жителей города заключалась в неэтичнсоти использования изображения девушки в данном контексте, поскольку реклама носит сексуальный подтекст (женщина создает образ обнаженной из-за открытых плеч) и обесценивает женщину. Однако Экспертный совет Челябинского УФАС признал рекламу допустимой и не нарушающей часть 6 ст. 5 ФЗ о рекламе, поскольку на баннере нет оскорбительных образов (такое мнение выразили 14 из 19 проголосовавших участников заседания совета), и изображенную девушку из-за оголенных плеч обнаженной они не представляют (из 19 проголосовавших 17 человек ответили именно таким образом)","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Не усмотрены признаки нарушения ч.  6 ст. 6 ФЗ о рекламе, однако обнаружено отсутствие разрешения уполномоченного органа на установку и эксплуатацию рекламной конструкции ","Верное: Реклама содержит сексуальный подтекст, потому что потребителям может казаться, что изображенная на плакате женщина обнажена. Использование непристойных образов в рекламе в отношении пола нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе используется фраза ""Территория низких цен"", которая не только указывает на выгодные цены по сравнению с конкурентами, но и не имеет объективного подтверждения и достоверных сведений. Реклама является недобросовестной (п. 1 ч. 2 ст. 5 ФЗ ""О рекламе"") и недостоверной (п. 1 ч. 3 ст. 5 ФЗ ""О рекламе"").","На рекламу была подана жалоба из-за использования оскорбительного образа, поскольку в ней содержится сексуальный подтекст, а изображенная женщина кажется обнаженной из-за открытых плеч. Однако экспертный совет признал рекламу допустимой, поскольку на баннере нет оскорбительных образов (такое мнение выразили 14 из 19 проголосовавших участников заседания совета), и девушка не представляется обнаженной лишь из-за оголенных плеч (из 19 проголосовавших 17 человек ответили именно таким образом). В результате не были усмотрены признаки нарушения ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/d8Tzqm3"
,2018 г,,этичная реклама,Новосбирск,"Жители города посчитали неуместным использование рекламной фразы, имеющей сходство с бранным словом. Однако Экспертный совет Новосбириского УФАС решил, что в рекламе ""Ох, уютные квартиры"" не используются непристойные или оскорбительные образы, сравнения и выражения, такое решение подтверждается проведенным на сайте ФАС опросом среди жителей Новосибирска, по результатам которого также не установлено нарушений ч.  6 ст. 5 ФЗ о рекламе","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Не произошло возбуждение дела по признакам нарушения законодательства о рекламе,"Верное: В рекламе используется фраза, имеющая сходство с бранным словом, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе содержится некорректное сравнение рекламируемого товара с другими на основе критерия ""уютность"", который ничем не подтверждается, что является нарушением п. 1, 2 ч. 2 ст. 5  ФЗ ""О рекламе"".","Изначально потребителей рекламы возмутила схожесть слогана ""Ох, уютные квартиры!"" с ненормативной лексикой. Однако экспертный совет решил, что в рекламе не используются непристойные или оскорбительные образы, сравнения и выражения, такое решение подтверждается проведенным на сайте ФАС опросом среди жителей Новосибирска. В результате не было установлено нарушений ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/FdBltM"
,2014 г,,этичная реклама,Челябинск,"Жителей города возмутило шутливое отноешение к серьезной проблемем онкологии, считая, что в рекламе представлены оскорбительные выражения. Однако реклама не содержит нарушений рекламного законодательства. Такой вывод сделал УФАС Челябинской области по результатам опроса, проведенного на сайте ведомства. Свое мнение по поводу текста объявления: «Ждете, когда рак на горе свиснет? Не ждите. Проверьте свое здоровье» высказали 343 человека. 56 процентов из них считают, что выражение не противоречит закону о рекламе и признали ее этичной.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Не произошло возбуждение дела по признакам нарушения законодательства о рекламе,"Верное: Рекламный слоган имеет оскорбительный характер, так как он ассоциируется с шутливым отношением к серьезности онкологических заболеваний. Использование таких выражений является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: Фраза ""Ждете, когда рак на горе свистнет?"" содержит предположение о наличии онкологического заболевания у потребителей рекламы, что нарушает п. 5 ч. 1 ст. 24 ФЗ ""О рекламе"".","По мнению потребителей, реклама носила оскорбительный характер из-за шутливого отношения к серьезной проблеме онкологии. Однако по результатам опроса, проведенного на сайте ведомства, реклама была признана этичной. Нарушений по признакам ч. 6 ст. 5 ФЗ ""О рекламе"" установлено не было.
Подробнее о деле: https://goo.su/YHyqU"
3-5-37/00-08-16,17 января 2017 (дата прекращения производства по делу),,этичная реклама,Москва,"Использование российского флага в рекламе шампуня ""Head&Shoulders"", полагая, что отношение к перхоти в рекламе выражается в негативном аспекте в этой связи иллюстрация рекламного текста ""ГУД БАЙ, ПЕРХОТЬ!"" изображением российского флага оскорбительно и уничижает достоинство официального государственного символа Российской Федерации. Однако по результатам обсуждения члены Экспертного совета большинством голосов пришли к заключению об отсутствии в рекламе шампуня ""Head&Shoulders"", распространявшейся на телевидении, оскорбительных образов в отношении официального государственного символа Российской Федерации - российского флага, отметив неуместность использования изображения российского флага в рекламе.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.",Прекращение производства по делу ,"Верный: Использование в рекламе российского флага в сочетании с фразой ""ГУД БАЙ, ПЕРХОТЬ"", которая выражает негативное отношение к перхоти, оскорбительно и унижает достоинство государственного символа. По этой причине реклама шампуня нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламе используется иностранное слово ""ГУД БАЙ"", которое может привести к искажению смысла информации, что нарушает п. 1 ч. 5 ст. 5 ФЗ ""О рекламе"".","Изначально жалоба была подана из-за использования российского флага в рекламе, которое в сочетании с негативным отношением к перхоти в рекламе оскорбительно и уничижает достоинство официального государственного символа Российской Федерации. Однако члены экспертного совета пришли к тому, что в рекламе шампуня нет оскорбительных образов в отношении российского флага. Таким образом, в рекламе не было усмотрено признаков нарушения ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/OUjj6jr"
08/05/5-26/2021,17.05.2021,,неэтичная реклама,Москва,"Созданный в рекламе образ сотрудников АО «Альфа Банк» (девушек) выглядит вызывающим и является непристойным, поскольку вырез у рубашек чрезмерно откровенный и через него виднеется нижнее белье. Таким образом, созданный в рекламе образ противоречит реальному образу сотрудников банка.","Согласно ч.  6 ст. 5 Федерального закона «О рекламе» в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов, сравнений и выражений, в том числе в отношении пола, расы, национальности, профессии, социальной категории, возраста, языка человека и гражданина, официальных государственных символов (флагов, гербов, гимнов), религиозных символов, объектов культурного наследия (памятников истории и культуры) народов Российской Федерации, а также объектов культурного наследия, включенных в Список всемирного наследия.","Признать ненадлежащей, нарушающей часть 6 ст. 5 Федерального закона «О рекламе», рекламу карты АО «Альфа-Банк», распространявшуюся с ноября 2020 г. на сайте youtube.com в форме клипа «Клип за 10 лямов», поскольку в рекламе используются непристойные и оскорбительные образы и сравнения.","Верное: В рекламе используются непристойные образы сотрудниц банка. Действия исполнителя по использованию оголенной части тела девушки в качестве платежного терминала для имитации оплаты банковской картой унизительны для женщины, поскольку она отождествляется с предметом. Также в рекламе исполнитель показывает зрителям средний палец, который является общеизвестным неприличным и оскорбительным жестом. Все это является нарушением ч. 6 ст. 5 ФЗ “О рекламе”.","Неверное: В рекламе у исполнителя песни на лице есть несколько татуировок, что запрещено ч. 1 ст. 6 ФЗ ""О рекламе"", поскольку это может побудить несовершеннолетних к тому, чтобы сделать татуировку.","Созданный в рекламе образ сотрудников АО «Альфа Банк» (девушек) выглядит вызывающим и является непристойным, поскольку вырез у рубашек чрезмерно откровенный и через него виднеется нижнее белье. Таким образом, созданный в рекламе образ противоречит реальному образу сотрудников банка. Реклама нарушает ч. 6 ст. 5 ФЗ ""О рекламе"", так как содержит непристойные и оскорбительные образы и сравнения.
Подробнее о деле: https://goo.su/iCnw"
протокол 1 от 25.10.2004,25.10.2004,,"неэтичная реклама

",Москва,"""Реклама могла бы быть признана недопустимой по причине использования в ней словосочетаний, схожих с русскими бранными словами, использование непристойных образов и изображений.""

https://vk.com/video-34096377_167785746

https://www.behance.net/gallery/3798751/Hoopers-Hooch-ad-campaign?locale=tr_TR","""Согласно пп. 5 п. 4 ст. 5 Закона о рекламе реклама не может содержать информацию порнографического характера. Согласно п. 6 ст. 5 Закона о рекламе в рекламе не допускается использование бранных слов, непристойных и оскорбительных образов.""","Реклама признана аморальной и оскорбительной.
В ходе лингвистической экспертизы слоган был признан схожим с терминами, составляющими ненормативную лексику, использование которых в рекламе нарушает общепринятые нормы гуманности и морали.
Предписание на устранение рекламы
","Верное: В рекламе используется фраза оскорбительного характера, поскольку она имеет сходство с бранным выражением, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В рекламной фразе ""оHOOCHенные фрукты"" используется иностранное слово, что приводит к искажению смысла информации. Это запрещено п. 1 ч. 5 ст. 5 ФЗ ""О рекламе"".","Экспертным советом было решено, что в рекламе используются оскорбительные образы и непристойные, бранные выражения. Это является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/UnHY39X"
https://kommersant-ru.turbopages.org/kommersant.ru/s/doc/4585458,17.12.2020,,Неэтичная реклама + несовершеннолетние,Свердловским УФАС,"Свердловским УФАС России усматриваются в рекламе непристойные и оскорбительные образы, и в целом рекламный ролик может формировать негативное отношение к лицам, проживающим в домах старой застройки, а также сформировать комплекс неполноценности у несовершеннолетних, проживающих в таких домах. В указанном усматриваются признаки нарушения п. 4 ч. 4 ст. 5, ч. 6 и ч. 7 ст. 5, п. 2, 4, 5 ст. 6, ч. 7 ст. 28 Закона о рекламе.","Стоит отметить, что распространение в сети «Интернет» информации, выражающей в неприличной форме, которая оскорбляет человеческое достоинство и общественную нравственность, может быть квалифицировано по ч. 3 ст. 20.1 КоАП РФ как мелкое хулиганство.","Компанию признали виновной в нарушении закона о рекламе (п. 4 ч. 4 ст. 5; ч. 6 ст. 5; пп. 2, 4, 5 ст. 6).

В частности, как посчитало ведомство, застройщик в своем ролике «формировал негативное отношение к лицам, не пользующимся рекламируемыми товарами», использовал «непристойные и оскорбительные образы» и допустил нарушения в адрес несовершеннолетних в рекламе","Верное: В рекламе ребенок использует неприличный жест, который одобряется взрослым, что является нарушением ч. 6 ст. 5 ФЗ ""О рекламе"".","Неверное: В данной рекламе сцена одобрения непристойного жеста со стороны родителя может сформировать у несовершеннолетних потребителей рекламы представление о том, что жест приемлем. А также подорвать их доверие к родителям и воспитателям, что нарушает п. 1 ст. 6 ФЗ ""О рекламе"".","В рекламе ребенок показывает средний палец - неприличный жест, что является оскорблением для потребителей рекламы. Использование непристойных образов и выражений нарушает ч. 6 ст. 5 ФЗ ""О рекламе"".
Подробнее о деле: https://goo.su/6joZG"
